bug_id,bug_type,component,environment,platform,operating_system,browser,reporter_role,module,status,affected_users,response_time_ms,error_code,business_impact_score,reproduction_rate,memory_usage_mb,cpu_usage_pct,lines_of_code,open_issues_count,fix_time_hours,num_comments,num_attachments,sprint_number,test_coverage_pct,reopen_count,num_linked_bugs,api_call_count,db_query_time_ms,is_regression,is_security_related,has_workaround,customer_reported,sla_breached,created_at,resolved_at,severity
BUG-000001,UncaughtException,EmailService,Development,iOS,Windows10,Edge,End_User,Integration,Resolved,685,538,204,3,28,2590,38.18,14331,330,219,17,0,34,91.94,0,3,60,1290,0,0,1,0,0,2022-04-09,2022-04-18,Low
BUG-000002,XSS,Analytics,QA,Desktop,Ubuntu20,Safari,Client,Core,In_Progress,545,10362,441,4,28,102,76.76,20070,500,429,34,10,36,6.34,4,5,630,635,0,0,0,0,0,2021-04-15,2021-05-02,Low
BUG-000003,RaceCondition,SearchEngine,Production,Web,macOS13,Edge,QA_Engineer,Integration,Reopened,2655,12433,491,15,2,1484,91.33,49064,342,703,36,5,6,95.76,0,9,374,1928,0,0,1,0,1,2022-06-18,2022-07-17,Critical
BUG-000004,NullPointerException,Scheduler,Development,API,Ubuntu20,Mobile_App,End_User,Plugin,Resolved,418,146,247,4,7,3665,48.61,21375,471,122,32,4,34,0.5,3,4,538,1853,1,0,0,0,0,2021-05-18,2021-05-23,Low
BUG-000005,XSS,FileStorage,Development,Android,iOS16,N/A,End_User,ThirdParty,Open,234,7333,270,2,40,2651,88.56,27558,146,583,4,2,32,45.92,0,4,639,1959,0,0,0,0,1,2023-01-15,2023-02-08,Low
BUG-000006,UIGlitch,Analytics,Development,Web,Windows10,Edge,Client,ThirdParty,Resolved,745,3514,267,17,25,3352,39.48,11164,466,369,22,2,21,66.62,4,2,500,2846,1,1,0,0,1,2021-02-07,2021-02-22,Low
BUG-000007,FileNotFound,SearchEngine,Development,API,Windows10,N/A,Product_Manager,Internal,In_Progress,276,577,311,2,58,3277,32.55,24215,228,617,28,8,10,88.81,5,0,967,1313,1,0,1,0,0,2021-05-01,2021-05-26,Low
BUG-000008,UIGlitch,CacheLayer,Development,API,Ubuntu20,Firefox,Client,Core,Open,1486,566,464,7,46,976,74.57,684,270,255,27,7,48,83.22,5,6,606,2705,0,0,0,0,0,2021-10-19,2021-10-29,Low
BUG-000009,NullPointerException,Notification,Staging,iOS,macOS13,Mobile_App,Product_Manager,Internal,Open,974,8659,392,4,39,3998,45.26,38134,71,189,33,9,45,32.29,0,5,804,1422,0,1,0,0,0,2021-11-21,2021-11-28,Medium
BUG-000010,ConfigError,FileStorage,Development,API,iOS16,Firefox,Client,Core,Resolved,137,3157,140,30,95,1058,28.81,10452,2,143,0,1,33,23.79,4,1,273,2042,0,0,1,1,1,2022-01-12,2022-01-17,Medium
