bug_type,component,environment,platform,operating_system,browser,reporter_role,module,status,affected_users,response_time_ms,error_code,business_impact_score,reproduction_rate,memory_usage_mb,cpu_usage_pct,lines_of_code,open_issues_count,fix_time_hours,num_comments,num_attachments,sprint_number,test_coverage_pct,reopen_count,num_linked_bugs,api_call_count,db_query_time_ms,is_regression,is_security_related,has_workaround,customer_reported,sla_breached,severity
18,6,0,4,3,1,3,1,4,685,538,204,3,28,2590,38.18,14331,330,219,17,0,34,91.94,0,3,60,1290,0,0,1,0,0,2
19,1,2,2,2,5,0,0,1,545,10362,441,4,28,102,76.76,20070,500,429,34,10,36,6.34,4,5,630,635,0,0,0,0,0,2
15,13,1,3,6,1,5,1,3,2655,12433,491,15,2,1484,91.33,49064,342,703,36,5,6,95.76,0,9,374,1928,0,0,1,0,1,0
13,12,0,0,2,3,3,3,4,418,146,247,4,7,3665,48.61,21375,471,122,32,4,34,0.5,3,4,538,1853,1,0,0,0,0,2
19,7,0,1,5,4,3,4,2,234,7333,270,2,40,2651,88.56,27558,146,583,4,2,32,45.92,0,4,639,1959,0,0,0,0,1,2
17,1,0,3,3,1,0,4,4,745,3514,267,17,25,3352,39.48,11164,466,369,22,2,21,66.62,4,2,500,2846,1,1,0,0,1,2
7,13,0,0,3,4,4,2,1,276,577,311,2,58,3277,32.55,24215,228,617,28,8,10,88.81,5,0,967,1313,1,0,1,0,0,2
17,3,0,0,2,2,0,0,2,1486,566,464,7,46,976,74.57,684,270,255,27,7,48,83.22,5,6,606,2705,0,0,0,0,0,2
13,9,3,4,6,3,4,2,2,974,8659,392,4,39,3998,45.26,38134,71,189,33,9,45,32.29,0,5,804,1422,0,1,0,0,0,3
3,7,0,0,5,2,0,0,4,137,3157,140,30,95,1058,28.81,10452,2,143,0,1,33,23.79,4,1,273,2042,0,0,1,1,1,3
2,14,0,1,0,2,1,4,0,342,11346,417,14,66,1631,73.46,37778,43,508,27,6,19,36.05,0,5,593,1582,0,0,1,1,0,1
8,4,0,1,3,5,4,3,3,459,2920,205,46,55,3822,24.22,15330,365,563,11,0,18,1.25,0,6,277,2640,0,1,0,0,0,1
7,12,2,3,6,1,1,0,4,3284,1676,183,75,8,1654,13.24,4068,271,235,11,0,8,26.01,5,5,882,1554,0,0,1,1,1,1
16,14,2,0,1,0,0,3,3,2848,3703,240,50,96,283,19.98,4811,444,153,8,2,48,30.24,1,10,316,255,0,0,0,0,1,0
8,3,2,3,0,0,0,4,0,4600,8075,300,51,34,1979,18.52,5581,93,467,14,1,38,56.09,3,0,650,2368,0,0,0,1,0,0
17,8,0,1,5,0,3,3,1,374,4781,382,3,98,3794,69.99,38709,430,178,33,9,20,93.67,3,0,859,575,1,0,1,0,0,2
17,1,1,4,0,0,2,4,2,4333,11876,185,7,32,266,0.84,38398,263,550,26,8,43,55.81,5,3,284,2929,0,0,0,0,1,0
5,10,0,3,6,3,0,0,0,2083,3967,420,46,23,3193,39.44,19109,120,14,41,4,14,54.48,5,5,505,1699,0,0,1,0,0,0
10,13,0,2,2,2,0,3,4,376,4434,452,21,87,3887,16.54,15281,361,689,27,1,18,39.21,4,7,590,1214,0,0,0,0,0,3
13,3,0,2,2,0,5,0,2,1970,11979,541,37,44,3631,48.6,6595,377,688,24,5,11,27.7,3,2,318,768,0,1,0,0,0,3
13,14,2,1,1,3,4,4,3,1647,8829,480,8,14,3201,33.98,38828,148,500,45,7,24,40.65,1,9,560,499,0,0,0,1,0,3
18,5,0,1,2,1,5,1,2,186,14089,440,51,60,3873,59.76,43027,375,113,7,0,39,84.82,3,10,299,144,1,1,0,0,0,0
7,1,0,0,6,5,4,0,4,10,545,303,8,87,397,44.79,804,115,558,6,10,41,25.34,5,2,329,2524,1,0,0,1,0,2
5,14,0,2,1,4,0,0,1,3175,4584,128,79,35,2593,30.11,43810,110,273,1,3,40,14.72,5,2,785,2026,1,0,1,0,0,0
19,3,2,3,4,1,0,0,1,1135,60,187,84,80,3642,83.07,29813,420,458,17,10,14,25.01,4,8,118,2070,1,0,1,0,0,1
7,9,1,1,4,4,4,2,0,4191,9122,139,2,52,1122,65.72,32548,95,245,15,1,23,90.6,4,5,321,1767,0,0,0,0,0,0
19,1,0,4,5,3,2,1,1,2220,4376,464,5,16,2706,26.85,4375,268,445,7,4,18,75.48,2,7,242,2305,0,0,1,1,0,2
8,4,0,2,2,4,3,3,0,337,1006,552,3,33,976,67.72,7151,174,697,15,4,35,76.2,3,7,794,2150,0,0,0,0,0,2
7,8,0,3,4,5,0,1,4,795,1424,573,11,42,2453,46.23,18658,63,81,27,1,36,12.1,3,7,142,2416,0,0,1,1,0,2
18,5,0,1,2,2,4,0,0,2567,1357,559,24,24,3014,67.85,31738,299,40,27,1,9,50.73,0,8,680,1055,0,1,0,0,0,1
13,7,0,2,2,1,0,4,3,88,9821,248,13,8,639,89.69,34689,436,75,15,9,4,41.67,0,10,905,663,0,0,0,0,0,2
17,3,0,0,3,1,0,1,3,765,523,135,1,80,2093,82.31,39119,387,289,22,5,38,64.01,1,1,278,681,1,0,0,0,0,2
17,2,3,0,4,1,5,2,0,4561,4328,547,66,38,2577,51.44,38506,286,548,24,10,36,83.53,1,5,76,1240,1,0,0,1,1,0
17,12,3,1,4,4,0,3,0,459,10195,247,20,39,3205,48.26,15290,15,5,15,0,21,36.29,1,0,386,2159,0,0,1,1,0,1
1,11,4,2,2,5,0,1,1,1958,9413,339,3,70,2992,89.54,49528,212,205,9,2,47,27.89,1,7,361,2769,1,1,0,0,1,0
13,7,4,1,4,3,1,1,1,1764,2899,451,94,5,3222,27.12,21845,133,126,26,0,41,40.41,2,5,438,1154,1,0,1,0,1,1
7,3,0,3,4,4,2,1,0,2417,10878,244,1,46,1437,83.99,24117,189,88,42,8,32,70.77,3,5,253,2931,0,1,0,0,1,3
5,5,3,2,2,0,3,0,0,3277,11836,222,59,94,4028,83.96,15398,195,617,25,0,26,25.25,0,4,543,148,0,0,1,0,1,0
17,6,0,2,3,2,0,2,3,1168,898,386,22,54,2670,7.9,39638,453,241,34,5,6,39.16,0,1,523,2284,1,1,0,1,0,2
13,0,1,0,2,5,0,4,0,1777,1877,110,43,13,1899,36.8,23086,319,174,4,6,50,33.44,5,2,58,278,0,0,1,0,1,0
13,2,4,1,6,3,3,4,1,3215,4366,247,84,49,3857,85.01,42455,11,210,39,7,8,44.1,0,7,392,2571,0,0,1,1,1,0
17,1,0,0,6,1,5,0,4,308,422,111,29,90,2681,76.78,3233,355,140,27,3,14,67.49,5,1,15,1355,0,0,0,1,1,2
16,10,0,0,5,0,2,0,4,1783,1214,142,15,5,3995,78.42,3930,180,267,49,7,14,75.88,5,3,268,1462,0,0,0,0,0,1
7,7,0,0,4,5,0,4,0,4433,4978,528,11,91,1692,50.98,22926,467,569,19,9,30,23.07,1,8,873,2356,0,1,1,0,1,1
19,6,0,4,6,3,2,0,0,1682,94,530,54,91,2258,70.28,5195,397,465,41,10,47,98.45,0,3,627,1581,1,1,0,0,0,1
19,13,0,1,3,2,0,2,3,1156,5855,146,20,1,1442,47.92,27683,18,71,48,7,50,30.56,4,7,137,1357,0,0,0,0,1,2
13,4,0,0,5,0,4,3,0,1223,9282,492,34,41,3352,80.21,23067,227,78,18,5,1,9.11,2,10,409,2787,1,0,1,0,1,3
19,12,0,3,4,5,0,1,1,436,3954,308,1,50,2875,95.24,13887,11,38,9,9,15,43.11,2,3,527,1571,1,0,0,0,1,2
12,7,1,3,1,2,0,4,3,2686,1191,148,34,12,3008,52.34,42561,480,58,34,5,13,66.99,5,8,535,62,0,1,0,0,0,0
13,1,0,0,5,0,5,4,1,861,3562,205,35,15,140,0.66,44023,193,414,28,2,6,97.05,1,8,460,2730,0,1,0,0,0,2
1,7,3,3,4,0,2,2,1,234,3251,301,16,7,3530,5.8,48511,313,694,21,5,9,62.8,5,9,990,477,1,0,0,1,1,1
9,6,4,4,4,2,4,0,4,4912,13005,518,34,3,2796,97.86,33830,237,419,35,9,34,55.88,4,9,168,1176,0,0,0,0,1,0
17,11,2,3,3,5,2,4,2,2692,1282,124,49,26,2954,76.19,45064,253,574,28,7,27,25.01,4,9,272,219,1,1,0,0,1,1
13,13,2,0,5,1,5,3,0,659,13866,213,11,69,3199,40.44,49627,224,65,16,10,35,98.33,4,8,201,468,0,1,0,0,0,3
13,7,0,0,3,1,3,4,0,188,7467,162,18,87,319,54.51,2915,431,514,31,10,22,86.17,0,8,931,2564,0,0,1,0,0,3
12,9,4,3,1,2,3,0,0,194,7004,117,12,70,331,22.35,17597,160,241,37,6,14,55.62,1,6,659,14,0,0,0,0,1,1
17,14,0,4,6,3,3,2,0,716,100,225,2,34,2498,30.63,4142,108,330,2,6,29,89.12,4,1,169,153,0,0,0,1,0,2
18,11,0,0,2,3,3,3,2,2699,13605,514,3,2,694,29.29,42351,244,207,48,1,47,96.96,1,2,31,664,0,0,1,1,1,3
19,9,0,4,1,0,5,3,3,54,3003,120,3,35,2169,16.25,34693,21,583,2,1,28,58.55,4,4,920,407,0,0,1,0,0,2
5,6,4,1,2,2,4,2,2,1974,2584,496,25,30,72,65.28,23986,41,133,9,3,30,46.24,1,9,754,688,0,0,1,1,0,0
19,4,0,0,4,2,5,1,0,306,896,246,6,28,2669,97.64,40667,378,358,31,0,47,76.08,5,6,413,1248,0,0,1,1,0,2
13,12,0,2,2,5,2,3,1,2209,3371,240,37,75,3337,21.36,28047,67,649,19,1,10,31.28,3,0,775,2119,1,0,0,0,0,3
12,11,0,0,3,4,0,2,2,4123,6741,513,20,28,1526,3.17,28857,269,470,26,3,41,2.05,5,3,147,59,1,0,0,0,0,1
10,7,0,3,2,3,3,4,3,722,750,256,2,83,3005,38.26,27414,347,384,32,2,48,15.9,3,3,752,2403,0,0,1,1,0,2
3,1,2,2,4,0,0,1,3,1731,8330,493,38,9,1287,15.48,46433,197,214,43,10,44,6.97,0,10,606,2879,0,0,1,0,0,1
8,4,0,2,2,4,3,3,0,337,1006,552,3,33,976,67.72,7151,174,697,15,4,35,76.2,3,7,794,2150,0,0,0,0,0,2
8,1,0,3,5,3,4,0,4,811,14138,149,8,13,1843,50.84,13265,450,229,0,2,33,87.54,0,4,625,1733,0,0,0,0,0,3
17,8,2,3,0,2,1,3,3,2935,12828,201,86,1,2541,22.59,22875,47,625,25,4,28,71.77,2,1,402,2783,0,0,0,1,0,1
1,8,3,1,6,4,2,1,0,440,6752,557,25,11,2226,27.99,27698,296,349,19,4,34,63.83,2,6,536,1939,0,0,0,0,0,1
3,12,0,0,2,1,5,1,0,1558,985,346,6,51,544,51.6,34786,487,602,22,6,30,80.3,5,8,419,348,0,0,1,0,0,2
9,12,1,4,5,0,2,4,2,4790,11513,269,40,33,966,16.6,3562,28,140,47,6,41,55.73,2,6,138,578,0,1,0,1,0,0
9,3,2,4,5,5,1,0,1,3887,1566,533,1,69,1809,77.37,44756,325,349,44,1,25,20.16,4,9,444,150,0,0,0,1,0,1
3,6,0,4,1,5,1,3,3,789,1030,436,37,57,3699,19.09,28336,169,28,2,2,23,12.97,2,4,564,2272,1,1,0,0,0,3
8,7,1,3,2,0,0,0,4,887,2549,192,16,42,3513,67.96,18750,404,156,21,10,17,45.51,2,3,186,1953,1,0,1,0,1,0
1,8,1,4,5,2,1,1,4,1959,11024,176,54,33,776,96.31,41642,144,115,19,2,44,75.17,2,2,197,2698,0,0,0,1,0,0
4,6,0,0,0,1,4,3,2,2293,3144,226,10,16,1738,35.47,39682,178,43,43,8,39,77.56,4,7,657,2331,1,0,0,1,1,1
13,6,0,2,4,3,0,2,1,1768,1730,248,88,32,1663,59.83,2883,341,643,20,3,26,31.24,2,7,960,855,0,0,0,1,0,1
3,6,0,4,3,5,4,0,4,2628,459,590,8,78,262,2.06,39335,11,634,46,8,4,72.72,0,8,841,2705,0,0,0,0,0,3
